,name,price,date
0,松木场河东,46849,2017-07
1,松木场河东,49705,2017-08
2,松木场河东,50487,2017-09
3,松木场河东,52200,2017-10
4,松木场河东,52206,2017-11
5,松木场河东,50894,2017-12
6,松木场河东,52930,2018-01
7,松木场河东,55048,2018-02
8,松木场河东,53589,2018-03
9,松木场河东,52789,2018-04
10,松木场河东,52289,2018-05
11,松木场河东,52939,2018-06
12,松木场河东,55258,2018-07
13,松木场河东,56794,2018-08
14,松木场河东,55463,2018-09
15,松木场河东,59019,2018-10
16,松木场河东,56257,2018-11
17,松木场河东,55595,2018-12
18,松木场河东,56151,2019-01
19,松木场河东,58781,2019-02
20,松木场河东,59371,2019-03
21,松木场河东,56667,2019-04
22,松木场河东,58303,2019-05
23,松木场河东,57287,2019-06
24,胜利新村,39778,2017-07
25,胜利新村,41697,2017-08
26,胜利新村,43815,2017-09
27,胜利新村,45380,2017-10
28,胜利新村,46117,2017-11
29,胜利新村,52757,2017-12
30,胜利新村,53357,2018-01
31,胜利新村,49533,2018-02
32,胜利新村,52920,2018-03
33,胜利新村,52120,2018-04
34,胜利新村,51620,2018-05
35,胜利新村,52529,2018-06
36,胜利新村,53891,2018-07
37,胜利新村,54353,2018-08
38,胜利新村,54176,2018-09
39,胜利新村,57390,2018-10
40,胜利新村,54921,2018-11
41,胜利新村,55122,2018-12
42,胜利新村,55673,2019-01
43,胜利新村,54907,2019-02
44,胜利新村,53320,2019-03
45,胜利新村,53112,2019-04
46,胜利新村,54517,2019-05
47,胜利新村,54222,2019-06
48,金祝新村,45058,2017-07
49,金祝新村,47367,2017-08
50,金祝新村,48607,2017-09
51,金祝新村,50180,2017-10
52,金祝新村,50375,2017-11
53,金祝新村,49251,2017-12
54,金祝新村,47954,2018-01
55,金祝新村,49212,2018-02
56,金祝新村,51718,2018-03
57,金祝新村,50918,2018-04
58,金祝新村,50418,2018-05
59,金祝新村,53974,2018-06
60,金祝新村,54943,2018-07
61,金祝新村,56564,2018-08
62,金祝新村,56043,2018-09
63,金祝新村,55587,2018-10
64,金祝新村,55983,2018-11
65,金祝新村,55878,2018-12
66,金祝新村,56437,2019-01
67,金祝新村,54973,2019-02
68,金祝新村,56292,2019-03
69,金祝新村,54826,2019-04
70,金祝新村,57302,2019-05
71,金祝新村,56266,2019-06
72,友谊新村,39922,2017-07
73,友谊新村,40848,2017-08
74,友谊新村,43137,2017-09
75,友谊新村,44952,2017-10
76,友谊新村,47626,2017-11
77,友谊新村,47537,2017-12
78,友谊新村,48046,2018-01
79,友谊新村,50434,2018-02
80,友谊新村,53416,2018-03
81,友谊新村,52616,2018-04
82,友谊新村,52116,2018-05
83,友谊新村,52955,2018-06
84,友谊新村,53492,2018-07
85,友谊新村,54435,2018-08
86,友谊新村,54940,2018-09
87,友谊新村,54394,2018-10
88,友谊新村,50516,2018-11
89,友谊新村,52738,2018-12
90,友谊新村,53265,2019-01
91,友谊新村,53728,2019-02
92,友谊新村,54811,2019-03
93,友谊新村,54381,2019-04
94,友谊新村,53621,2019-05
95,友谊新村,52891,2019-06
96,松木场河西,40538,2017-07
97,松木场河西,41295,2017-08
98,松木场河西,42713,2017-09
99,松木场河西,45860,2017-10
100,松木场河西,46514,2017-11
101,松木场河西,47039,2017-12
102,松木场河西,48314,2018-01
103,松木场河西,50830,2018-02
104,松木场河西,52376,2018-03
105,松木场河西,51576,2018-04
106,松木场河西,51076,2018-05
107,松木场河西,54098,2018-06
108,松木场河西,54234,2018-07
109,松木场河西,55669,2018-08
110,松木场河西,55350,2018-09
111,松木场河西,56563,2018-10
112,松木场河西,57079,2018-11
113,松木场河西,56953,2018-12
114,松木场河西,57523,2019-01
115,松木场河西,54033,2019-02
116,松木场河西,54343,2019-03
117,松木场河西,54365,2019-04
118,松木场河西,55237,2019-05
119,松木场河西,54452,2019-06
120,曙光路小区,57663,2017-07
121,曙光路小区,57376,2017-08
122,曙光路小区,59397,2017-09
123,曙光路小区,62288,2017-10
124,曙光路小区,62533,2017-11
125,曙光路小区,54429,2017-12
126,曙光路小区,56901,2018-01
127,曙光路小区,62035,2018-02
128,曙光路小区,62535,2018-03
129,曙光路小区,63435,2018-04
130,曙光路小区,63935,2018-05
131,曙光路小区,64435,2018-06
132,曙光路小区,63879,2018-07
133,曙光路小区,66422,2018-08
134,曙光路小区,66225,2018-09
135,曙光路小区,62914,2018-10
136,曙光路小区,62850,2018-11
137,曙光路小区,61030,2018-12
138,曙光路小区,61640,2019-01
139,曙光路小区,59762,2019-02
140,曙光路小区,55624,2019-03
141,曙光路小区,56467,2019-04
142,曙光路小区,60456,2019-05
143,曙光路小区,55203,2019-06
144,桃园新村,47885,2017-07
145,桃园新村,48750,2017-08
146,桃园新村,49318,2017-09
147,桃园新村,52154,2017-10
148,桃园新村,54514,2017-11
149,桃园新村,56143,2017-12
150,桃园新村,58389,2018-01
151,桃园新村,60725,2018-02
152,桃园新村,62850,2018-03
153,桃园新村,62050,2018-04
154,桃园新村,62394,2018-05
155,桃园新村,62816,2018-06
156,桃园新村,63094,2018-07
157,桃园新村,66094,2018-08
158,桃园新村,67373,2018-09
159,桃园新村,62543,2018-10
160,桃园新村,62007,2018-11
161,桃园新村,60899,2018-12
162,桃园新村,61508,2019-01
163,桃园新村,59277,2019-02
164,桃园新村,60539,2019-03
165,桃园新村,59252,2019-04
166,桃园新村,60210,2019-05
167,桃园新村,58920,2019-06
168,铁路新村西湖,31681,2017-07
169,铁路新村西湖,34587,2017-08
170,铁路新村西湖,33253,2017-09
171,铁路新村西湖,36558,2017-10
172,铁路新村西湖,36458,2017-11
173,铁路新村西湖,48985,2017-12
174,铁路新村西湖,49486,2018-01
175,铁路新村西湖,50918,2018-02
176,铁路新村西湖,52739,2018-03
177,铁路新村西湖,51939,2018-04
178,铁路新村西湖,52238,2018-05
179,铁路新村西湖,52738,2018-06
180,铁路新村西湖,53459,2018-07
181,铁路新村西湖,57998,2018-08
182,铁路新村西湖,56654,2018-09
183,铁路新村西湖,52285,2018-10
184,铁路新村西湖,52808,2018-11
185,铁路新村西湖,52889,2018-12
186,铁路新村西湖,53418,2019-01
187,铁路新村西湖,53633,2019-02
188,铁路新村西湖,50688,2019-03
189,铁路新村西湖,52899,2019-04
190,铁路新村西湖,52614,2019-05
191,铁路新村西湖,51065,2019-06
192,玉古路小区,51543,2017-07
193,玉古路小区,52972,2017-08
194,玉古路小区,53126,2017-09
195,玉古路小区,58551,2017-10
196,玉古路小区,60832,2017-11
197,玉古路小区,60712,2017-12
198,玉古路小区,60672,2018-01
199,玉古路小区,61993,2018-02
200,玉古路小区,61993,2018-03
201,玉古路小区,62113,2018-04
202,玉古路小区,61613,2018-05
203,玉古路小区,63055,2018-06
204,玉古路小区,61374,2018-07
205,玉古路小区,63568,2018-08
206,玉古路小区,62432,2018-09
207,玉古路小区,62481,2018-10
208,玉古路小区,64238,2018-11
209,玉古路小区,65250,2018-12
210,玉古路小区,65902,2019-01
211,玉古路小区,63220,2019-02
212,玉古路小区,59821,2019-03
213,玉古路小区,58806,2019-04
214,玉古路小区,59412,2019-05
215,玉古路小区,56909,2019-06
216,王家弄小区,39151,2017-07
217,王家弄小区,40513,2017-08
218,王家弄小区,41277,2017-09
219,王家弄小区,41821,2017-10
220,王家弄小区,42606,2017-11
221,王家弄小区,47379,2017-12
222,王家弄小区,46232,2018-01
223,王家弄小区,45579,2018-02
224,王家弄小区,46694,2018-03
225,王家弄小区,47266,2018-04
226,王家弄小区,46766,2018-05
227,王家弄小区,51076,2018-06
228,王家弄小区,50276,2018-07
229,王家弄小区,54259,2018-08
230,王家弄小区,53732,2018-09
231,王家弄小区,54917,2018-10
232,王家弄小区,55146,2018-11
233,王家弄小区,53187,2018-12
234,王家弄小区,53719,2019-01
235,王家弄小区,54256,2019-02
236,王家弄小区,52904,2019-03
237,王家弄小区,53077,2019-04
238,王家弄小区,54263,2019-05
239,王家弄小区,51548,2019-06
240,莫干山路79号,32295,2017-07
241,莫干山路79号,32881,2017-08
242,莫干山路79号,33674,2017-09
243,莫干山路79号,35871,2017-10
244,莫干山路79号,36316,2017-11
245,莫干山路79号,48048,2017-12
246,莫干山路79号,51813,2018-01
247,莫干山路79号,53013,2018-02
248,莫干山路79号,57939,2018-03
249,莫干山路79号,58439,2018-04
250,莫干山路79号,57939,2018-05
251,莫干山路79号,57895,2018-06
252,莫干山路79号,55783,2018-07
253,莫干山路79号,65946,2018-08
254,莫干山路79号,64859,2018-09
255,莫干山路79号,68062,2018-10
256,莫干山路79号,56859,2018-11
257,莫干山路79号,59607,2018-12
258,莫干山路79号,60203,2019-01
259,莫干山路79号,58206,2019-02
260,莫干山路79号,54408,2019-03
261,莫干山路79号,56617,2019-04
262,莫干山路79号,57467,2019-05
263,莫干山路79号,59060,2019-06
264,仁寿山,57331,2017-07
265,仁寿山,57983,2017-08
266,仁寿山,62927,2017-09
267,仁寿山,62829,2017-10
268,仁寿山,63341,2017-11
269,仁寿山,65166,2017-12
270,仁寿山,63236,2018-01
271,仁寿山,62747,2018-02
272,仁寿山,62747,2018-03
273,仁寿山,63208,2018-04
274,仁寿山,63780,2018-05
275,仁寿山,64078,2018-06
276,仁寿山,62666,2018-07
277,仁寿山,61421,2018-08
278,仁寿山,62154,2018-09
279,仁寿山,54409,2018-10
280,仁寿山,54895,2018-11
281,仁寿山,53493,2018-12
282,仁寿山,54028,2019-01
283,仁寿山,55184,2019-02
284,仁寿山,54765,2019-03
285,仁寿山,55157,2019-04
286,仁寿山,58174,2019-05
287,仁寿山,56671,2019-06
288,保俶路小区,42327,2017-07
289,保俶路小区,43534,2017-08
290,保俶路小区,43572,2017-09
291,保俶路小区,44397,2017-10
292,保俶路小区,43702,2017-11
293,保俶路小区,50519,2017-12
294,保俶路小区,52540,2018-01
295,保俶路小区,54642,2018-02
296,保俶路小区,55142,2018-03
297,保俶路小区,54342,2018-04
298,保俶路小区,54842,2018-05
299,保俶路小区,58851,2018-06
300,保俶路小区,61038,2018-07
301,保俶路小区,61402,2018-08
302,保俶路小区,62623,2018-09
303,保俶路小区,55879,2018-10
304,保俶路小区,60401,2018-11
305,保俶路小区,59979,2018-12
306,保俶路小区,60579,2019-01
307,保俶路小区,59597,2019-02
308,保俶路小区,55863,2019-03
309,保俶路小区,62042,2019-04
310,保俶路小区,60815,2019-05
311,保俶路小区,58267,2019-06
312,亚洲城花园东区,27147,2017-07
313,亚洲城花园东区,27466,2017-08
