name,price,lng,lat,rate_score
松木场河东,57287,120.1551513671875,30.2763614654541,175.707
胜利新村,54222,120.1588897705078,30.27651405334473,166.122
友谊新村,52891,120.15057373046876,30.273935317993164,122.027
金祝新村,56266,120.1574935913086,30.27549171447754,129.667
松木场河西,54452,120.15357208251952,30.27535629272461,147.518
曙光路小区,55203,120.13704681396484,30.263458251953125,142.97
桃园新村,58920,120.1531219482422,30.272491455078125,156.5
王家弄小区,51548,120.1530303955078,30.27433967590332,28.435
铁路新村西湖,51065,119.05252838134766,29.59988594055176,31.135
莫干山路79号,59060,120.16036987304688,30.28016471862793,202.631
玉古路小区,56909,120.13249969482422,30.26781272888184,121.544
保俶路小区,58267,120.15583801269531,30.27091789245605,132.182
亚洲城花园东区,44360,120.1184310913086,30.28166007995605,150.886
保俶小区,57179,120.1530303955078,30.27253341674805,169.571
栖霞岭,65588,120.14068603515624,30.25933837890625,25.13
仁寿山,56671,120.13549041748048,30.261430740356445,24.485
金祝花园,59877,120.15863800048828,30.27584457397461,126.678
宝麓山庄,39062,120.15470886230469,30.26871490478516,104.95
宝石新村,67842,120.15380096435548,30.27018547058105,133.35
龙游路小区,44828,120.16546630859376,30.26725578308105,126.716
白沙泉,56962,120.1432876586914,30.27073097229004,106.98
宝石社区,73160,120.15795135498048,30.268512725830078,24.96
宝石二路小区,60785,120.1530303955078,30.27047538757324,115.953
北山路小区,55778,120.15064239501952,30.26190185546875,26.045
保俶花园,39961,120.14639282226562,30.28825187683105,25.56
宝石山下五弄,61250,120.15554809570312,30.269084930419922,205.105
宝石山下二弄,61173,120.15789794921876,30.26710319519043,185.4
城河下小区,60561,120.16136169433594,30.26931953430176,94.28
达盟山庄商务公寓,57066,120.15809631347656,30.267974853515625,151.505
东山弄社区,66738,120.13518524169922,30.26428604125977,153.17
芳草苑,37117,120.1484832763672,30.28577041625977,171.635
葛岭山庄,57066,120.15118408203124,30.264562606811523,26.185
杭大路46号院,66189,120.14778900146484,30.274938583374023,34.19
嘉华国际公寓,58530,120.14704895019531,30.27601623535156,118.19
教工路138号院,59632,120.14346313476562,30.28701591491699,122.293
昆仑大厦,58275,120.15689086914062,30.27469062805176,131.705
留博楼,49744,120.1368408203125,30.270282745361328,149.118
绿宝公寓,57584,120.15797424316406,30.26879692077637,100.04
马塍路20号,60488,120.1543426513672,30.283649444580078,97.163
跑马场巷,66196,120.14521026611328,30.27457427978516,104.48
翠苑一区,40894,120.13434600830078,30.29189491271973,222.635
翠苑三区,39316,120.12764739990234,30.296178817749023,27.025
翠苑五区,37274,120.1277313232422,30.289520263671875,303.54
翠苑四区,39593,120.12759399414062,30.293621063232425,151.339
庆隆苑,36007,120.12763214111328,30.3016414642334,155.526
翠苑二区,40052,120.13445281982422,30.295337677001953,29.085
金色蓝庭,51538,120.12342071533205,30.294639587402344,166.513
翠苑东二区,37425,120.1357421875,30.29928779602051,166.556
翠苑逸景湾,38464,120.12918853759766,30.299203872680664,166.846
桃源春居,32871,120.11941528320312,30.29709053039551,154.382
学院春晓,42127,120.13426208496094,30.29942321777344,150.906
文二路小区,62196,120.14875793457031,30.28941535949707,137.788
翠苑北二区,34565,120.13459014892578,30.29751968383789,154.615
教工里,28557,120.14030456542969,30.30060195922852,134.114
古荡湾南苑,14122,120.13053894042969,30.282344818115234,98.766
翠苑佳居,44886,120.1301727294922,30.2991943359375,213.358
